text,labels
sayın bakanım binlerce veteriner hekim ve aileleri sizlerden atama müjdesi bekliyor saygılarımla stiyor rli,Neutral
allah yardımcın olsun reisim,Favor
vurun allah ın aslanları vurun,Favor
allah rahmet eylesin mekanı cennet ruhu şad olsun yakınlarına sabırlar diliyorum,Favor
vatan daim sagolsun insallah,Favor
mutlusundur katta davul zurna sesleri yükseliyor,Against
buyrun aclık edebıyatı yapanlar,Against
üstün zeka fışkırıyor maşallah,Against
bizlere verilen vaadrin cevabını bekliyoruz,Neutral
yerel seçimlerde hangi şehirleri kaybeder yorumlarınızı bekliyorum,Neutral
tum dualarımız kabul olur inşallah ülkenin bu zor zamanında hiçde hafife alınmayacak bir kitleyi adaletsizce yargılanmış fetocu hakimler tarafindan yillarca ceza almış canlarımızı ve bizi unutuyorsunuz sayın cumhurbaşkanımız ilin nüfusunu gectik esit yasa,Against
üniversite okudu tamm,Neutral
meb öğrenim özrü haric herşeyi düsünüyor bizide düsünüp hakkimizi verin,Against
inşallah allah cc izni ile,Favor
önceden haber verilerek denetimmi olur,Against
seni herşeyden çok seviyoruz başkanım,Favor
yazık size beee ne çektin müdür geldin geleli seçim de hezimet cok kotu duygu olsa gerek,Against
teröristlerin sonu ya sarı çuval ya da yargılanmaktır teröristleri lanetlemenizi bekliyoruz,Against
halkı düşünen gerçek bir lider teşekkür ediyorum şahsen bu aklıselim ve hakkaniyetli dil ve görüşü için sayın kılıçdaroğluna,Favor
hayırlı olsun sayın bakanım allah hayrını kabul etsin inşallah vatana ve millete bir sadakayı cariye olur,Favor
eyvallah reisim hürmetler,Favor
önlem alındı mı tekrarı olacak mı aslı var mı,Neutral
madem öyle türk milletinin içinde eyt yok mu emekli yapsanız maaşları şöyle düzenleseniz evine ekmek götürse çocuğunun eline bakmasa iyi olmaz mı hayir dua alsanız yani bu günlük dünya da insana bu eziyet niye lütfen bu konunun ciddiyetini anlayınışekkür ederiz,Against
neredeyse tüm dünyayı karşımıza aldığımız bu dönemde allah cc yar ve yardımcımız olsun inşallah,Favor
allah yardımcımız olsun,Favor
sinan ateş iyi partiye vercez,Neutral
sayın bahçelı siz barı sesımızı duyun işsiz kalmak istemıyoruz işkur typ temizlık ve güvenlık için ayrımsız kadro verılsın lütfen sesimiz olun,Neutral
iyi yayınlar başkanım,Favor
sayın cumhurbaşkanım türk telekom acıbadem davasında er şer kez müebbet hapis cezası aldı lütfen yardım edin kınalı kuzular annelerinin mezarına olsun gidebilsin,Neutral
allah yolunuzu açık etsin önce allaha sonra sizlere güveniyorum hayırlı olsun,Favor
il genel meclisi ak parti gerisini boşver zaten,Against
size oy veren olacakmı merak ediyorm yazıklar olsn,Against
bekliyor bizler de mayısı bekliyoruz inşallah bu defada hüsrana uğratılmayız,Against
kutlu davamıza sahip çıkan ve abimizin yanındayız allah yar ve yardımcımız olsun inşallah le,Favor
ilgili kurumların istihdam alanımızda olan pozisyonları için kadro bekliyoruz,Neutral
normal emekli maaşlari nolacak biz yillarca yüksek prim ödedik bizim suçumuz ne en dusuk emekliye yapilan zam bizlere de yapilsin haksizlik bu,Against
d li personellerin hizmet zammı fiili değilde gün üzerinden hesaplanıp ödenmesini istiyoruz,Neutral
vatan sana canım feda,Favor
peki ortaöğretim sınavları ler okula çağrıldı peki o sınıflara ne olacak gidecekler mi,Neutral
sayın cumurbaşkanım bu zamlarla nasıl yaşıyacaz biz petrol uçtu gitti bi önlem aln yoksa oy kaybedersiniz saygılarımla,Against
suriyeliler sevinsin,Favor
sayın cumhur başkanim büyük lider siyaset adamı olmak bu olsa gerek dava arkadaşlığı ahtı vefa işte budur kimseyi arkada bırakmıyorsunuz bu asalet ve meziyet malesef her devlet adamı ve siyasetçide nefes bulmuyor size cenabı allahtan sağlık ve sıhaat dilerim,Favor
gıdanın üretiminden tüketimine kadar her alanda gıda mühendisleri olmalıdır gıda mühendisi istihdam edilmelidir gıdamüh atamaistiyor,Neutral
tv ekranlarında maske konusunda bilende konuşuyor nefesini çene hizasindan aldigin sürece hastalik devam eder,Against
genel baskani netfilix dizi sezonu takip ederken belediye baskani aşkı memnu yeni sezon cekimlerine baslamis,Against
la yürü git,Against
asıl olan nedir acaba gelecek hafta tam gün yuzyuze zorunlu oğlumun okulunda hergun saatlik sınav var asıl olan ne zaman okullara bildirilecek yuzyuze sınava göndermek istemiyoruz,Against
yalan vaatlerinlemi akp yi bile kandırdınya sana helal olsun ama sn erdoğana o attığın ip senin boğazına takılsın stajyer ve çırakların sana verdiği oylar haram olsun kusasınız hergün hiç bir belediye kazanamazsınız yok olursunuz inşallah,Against
et ve süt kurumu et ve süt ürünlerine zam yaptıbu zamlari ramazandan sonra yapsaydinizya sayin bakan,Against
hoş geldiniz sefa getirdiniz,Favor
genel başkan yardımcısı türkiyenin umudu gençler gençlerin umudu chp,Favor
rasim arı akpden istifa ederken davasına ve reisine bağlı kalacağına söz vermişti ne oldu,Against
sayın cumhurbaşkanım allah rızası için peygamber efendimizin hatırı için ilgilenin bizimle beni arayın ben siirt ten,Neutral
sayın bakanım devletin yasal bir esnafı olan taksi sektörü bu devletin emrindedir,Favor
bizim insanımız ahde vefa sahibidir elhamdülillah,Favor
proqrami çok hevesle izledim mevzu çok üzücü olsada sayın hakan fidan verilen soruları çok anlamlı kendinehas şekilde cevablandirmisdir rabbim hoşmüjdeli haberleri sayın hakan fidan dan duymaqi bizlere nasib eylesin amin,Favor
bunu diyorsunuz ama sizden konusunda haber bekleyen binlerce kadının yüreğini yaktınız af af dediginiz sey basit bir ceza indirimi fare doğ bunu da tek bir khk yla yaptısiz aydır ortalığı velveleye hayal kırıklığı,Against
sayın cumhurbaşkanım sağlığa yaptığınız yatırımlar sayesinde gurur duyduğumuz dünyayı kıskandıran sağlık sistemimiz oldu personel atamasıyla daha da sarsılmaz yapalım bakanımızın müjdelediği atamanın kılavuzu bu hafta yayınlansın,Favor
bakanlığı yerli ve milli yazılım olan biyometrik veri sistemi bu yıl aktif hale getiriliyor,Neutral
aileyi kurtarmak için projeler üretmeliyiz,Favor
hergün erdoğanı eleştirerek koltukta kalma çabanı takdir etmek lazım seni fazla umuruna takan kalmadı,Against
kabul etmesede bizler nın taşra teşkilatıyız sydgmnin verdiği görevleri yerine getiren kamu kurumuyuz kadromuzusendikal haklarimizitayin hakkimizi taşeron yasasıyla almak istiyoruz nda,Neutral
halkımızın sağlıklı beslenebilmesi güvenli gıdaya erişebilmesi için gıda üretim ve satış yerlerinin etkin ve yeterince denetlenmesi gerekir etkin denetim gida mühendisleri ile sağlanır halksağlığıiçin gıdamüh bütçeyebin gıdamüh,Neutral
türk bayrağı espiri yapılabilecek bir bayrak değil dir tabi sizin için bir anlam ifade etmediği için bunu anlayamaz sınız ha bir de unutmadan siz daha partiniz deki taciz ve tecavüz leri telafi edemediniz kemal bey,Against
seni başımızdan eksik etmesin başkanım,Favor
ekimde genel af kaçınılmazdır,Neutral
woow aferin size okulları da kapatın bence sabahtan akşama kadar kek yeyip yuvarlanalım,Against
eyt hakkında da inşaallah güzel haberler bekliyoruz,Favor
ya lar birazda bizi gör reis,Against
size mail attım gonca karagöz lütfen cevap verin,Neutral
reisim inşallah bizim ata topraklarımızın hakları da önce allahasonra size emanet,Favor
hayırlı cumalar,Favor
yalancının,Against
bin kişinin katili apo dan hesap soramadın kandildeki tetikçi katillerden mi korktun,Against
uğur bey harikasiniz,Favor
sayın başkanım lütfen haksızlığa uğrayan khk mağdurların yanında psizlik ve beraat alan binlerce insan var,Neutral
suriye hava harekatı her gün bunu yapmadığımız sürece terör bitmez,Neutral
veteriner hekimler yılında atanmak istiyor yıl bekletilmek istemiyoruz alım sayısının artmasını ve alımların yıllara eşit bir şekilde bölünerek yapılmasını istiyoruz ve açıklama bekliyoruz,Neutral
kaymakamdan niye allah razi olsun olmasin onlar tepeye zeval gelmesin diye yapti yapacagini,Against
yılda binlerce kadın öldürüldükatiller cezasız kaldıkları için cesaret buldu daha kötü ne olabilir derkenhükümetteki partinin genel başkanı chpye ayırım yapıyor demeye çalışıp kendisi öldürülen kadınlar arasında başörtülübaşörtüsüz ayırımı yapan oldu,Against
atatürk və rəsulzadə askerleriyiz,Favor
sayın cumhurbaşkanım gülşah ı kabul ettiniz ben engelli değilim ama sizi çok seviyorum ölmeden sizi görebilecekmiyim,Favor
haydi mümin kardeşlerim hep beraber,Favor
chp milletvekili ilhan kesici ve ahmet davutoğlu istemeden muhalefetin milyar dolar yalanını ele verdi balon patladı ajansa ve kemal kılıçdaroğluna kendilerini affettirmek için bakalım kaç takla atacaklar,Against
sayın başbakanım torba kanunda in olmasi kamuda adalet ve güveni sağlayacaktırım,Neutral
bu kitabu okuyun cevap verin,Neutral
çok acil çözüm bekliyor saygılar mhp umuttur,Favor
sayin bakanim bekci alimina univerite mezunlarida dahil edilsin,Neutral
geçen sene askari ücret kasımda tl,Neutral
lidere bak bu adam ülkemi yurt dışında nasıl temsil edecek çok merak ediyorum,Against
antrenörlük alım sonuçlarını açıkla,Neutral
tarih oldu mhp kisi milletvekili maasi alsin diye ugrasanlarin disinda herkes iyi partiye gecti gecmis olsun,Against
sayfam da ufak bir etkinlik var buyrunuz,Neutral
bunların hiçbirinin bir partiyle ilgisi yoktur tamamının türkiyenin çıkarları ile ilgisi vardır milliyetçiysek tank palete sahip çıktığımız zaman milliyetçiyiz,Favor
allah rahmet elesin,Favor
alınması gereken engüzel önlem allah razı olsun sayın bakanım,Favor
ah sizi gidi sizi ler sizi,Against
demirryolları nisanda kaç inşaat mühendisi talep etti sandainsaatmuhendisi bekliyoruz,Neutral
allahım şifalar versin inşallah,Favor
vatanımızamilletimize hayırlı olsun şkanım cumhuriyetin yılına girerken böyle bu haber tüm dengeleri değiştircek bir nitelikte ek atama konusunda da sizden gelecek güzel haberleri bekleyen yüzbinlerce insanı da sevindirecek bir haber verseniz ne güzel olur,Favor
sayın bakanım size sgk ile ilgili çok acil ulaşmam gerekiyor cep numaramı birakiyorum sayfayı kullanan bakanıma ulaştırın lütfen,Neutral
filistine gitmeme yardım etmezsen allaha yemin ederim kıyamet günü size allaha şikayette bulunacağım lütfen lütfen lütfen,Against
cunda da kooperatif kahvesindeyiz başgan,Neutral
bu maskelerden bizde satın almak istiyoruz eczanelerde çok pahalı maske tl,Against
hayirli cumalar başbakanim rabibim bu ramazan ayi hürmetine yar ve yardimciniz olsun reise canimiz feda,Favor
lütfen eyt,Neutral
allah rahmet etsin mekanı cennet olsun inşallah,Favor
amcaoğluda yanında olacak mı,Neutral
sayın istifanızı kabul etmiyoruz,Against
alım bekliyor,Neutral
sahaya çıkın sahaya chp metro çıkışlarına sabahın sinde dikilip broşür dağıtıyor size ne diyor ulaşmadık kimse kalmayacak istanbul teşkilatı sınıfta kalıyor bizden soylemesi,Against
rabbim mehmetçiğimizin yar ve yardımcısı olsun ayaklarına taş değdirmesin,Favor
sayın cumhurbaşkanım allah rızası için denizcilerin sorununa el atın bin denizci ye umut olum,Favor
efendim bin genç değişikliğinin mağduruyuz lütfen en kısa sürede duruma çözüm getirin hem devletimiz para kazansın hem biz hayatımızı geri kazanalım c,Neutral
bu gurubu durdurun artık küçük esnaf kalmadı,Against
sizden af istiyorum,Neutral
neyi konusuyorsun sen bahceli konusmadan acizsin partimizi mahfettin mhp liyiz diyemiyoruz kuyruk partisi oldu vatani sattiniz köprüleri yollari vatanin tüm kaynaklarini dolar garantisiyle birilerine peskes cekip vatani soydunuz vatan hainisiniz hainnnn,Against
rabbim gücüne güç katsın inşallah yolunuz açık olsun dualarımız sizinle seferiniz zaferlerle taçlansın inşallah,Favor
kim düşman aciklamalarinizdan anlaşılıyor,Against
şimdi değilse ne zaman bin ek atama,Against
emniyeti de ekledim bu sefer bu ne lan sülümanrecep bu sizin müslüman ümmetinizden değil mi kaç günlerdir ümmet ümmet deyip duruyonuz bu mu len bunlar bildiğin lut kavmi,Against
bu görseli sadece havancılar anlar,Neutral
eyt yasasıyla ilgide müjdeli haber bekliyoruz iyi günler,Favor
sayın cumhur başkanım deprem zedelere bankalar kredi vermeli lütfen,Neutral
sayın bakanım tatilde öğrencilere ödev veriliyor,Neutral
sn başbakanım dik duruşunuz şubatta bine evet der gibi,Favor
resmi açiklama bekliyoruz,Neutral
abaşkanlığa karşı olmadık laf eden mandacılar de cumhuriyet kurdurulurken halka mı sormuşlardıkimmiş diktatôr,Against
yaşamayalım ozaman ntihardanbaşkaçarekalmadıeyt,Against
tebrikler giresun halkı kararlı yeni anayasaya evet diyor,Favor
mayıs mülakatına ek öğretmen ataması nerede meb reisin sözünü yere düşürüyor çocuklarım bile soruyor baba reis seni zaman atayacak diye cevap veremiyorum boynum bükük çocuklarımın rızkını teslim edin can çıkmak üzere,Against
iktidar oldular ama muktedir olamayacaklar dediğiniz günler dün gibi aklımızda,Against
üniversite de okuyan oğlum yaşını geçti diye gss primi yatırmasını istiyorsunuz çocuk okurken bu primi nasıl ödeyecek çocuk ödeyemez ama ailesi asgari ücretle çalışınca baba anne ödemek zorunda akp hep zengine çalışıyor,Against
meb çalışanları kadro bekliyor,Neutral
chp başına en büyük dert kk dir emin olun kk gitme zamnı çoktan gelmiş asıl adeleti chp kk gitmesiyle başlar,Against
kesinlikle sonuna kadar asla geri dönüş yok sakın,Favor
ruhları şad mekanları cennet olsun inşallah,Favor
rabbim yar ve yardımcımız olsun,Favor
keçiören eğitim araştırma hastanesi çocuk acilin bekleme yeri yok afrika gibi hizmet,Against
aile boyu terör propagandası rezaletine seyirci kalmaya devam mı,Against
son bir kez kurtarmak için kendini aday gösterirsin senden bekliyorum çok sıkıştılar yardımlarına koş kendini aday göster,Favor
herkez bayramı kutlu olsun allah tekrarını göstersin,Favor
benim çocuklarım benim calistirdigimla girer sınava artık,Against
geçen yıl açmadınız okulları bu yıl rezalet öğretmen yok öğretmen dersler boş geçiyor kapatında biraz dinsin bu hastalık,Against
at gözlükleriyle bakmayanlar keşke milletin derdinin ne olduğunu görebilseler,Against
zorunlu hizmet muagiyetine çözüm istiyoruz,Neutral
hadi o yolumu ne zaman yapacaksın sayın cumhurbaşkanım söz verdiğimiz yapacak mısınız sayın cumhurbaşkanım biz sizi çok seviyoruz ama sayın cumhurbaşkanım sayın cumhurbaşkanım ben sizi çok seviyorum da,Favor
cezaevlerini ıslah etmeli,Neutral
ve bir gün gelir tüm dualar kabul olur zaferler kazanılı ki inanmaktan vazgeçmeyin,Neutral
kredi borcunun faizini kaldırdınız evet güzel birşey başta kendim ve benim gibi faiziyle ödeyenler içinde bir çalışmanız var mı biz ödeyenler neden ödedik peki,Against
bakanım sizinle görüşebilirmiyim,Neutral
çocuklarımızın bizden başka geçim sağlayacak kimseleri yok biz işimizi kaybedersek onlar her şeyi kaybederler,Against
acaba ülkemiz üniversitelerinde çalışan ve ile boğuşan araştırmacılarının farkında mı konuyu ara sıra dile getirse de iş güvencesi olmadan bilim yapamaya ve üretmeye çalışan bilim insanları var için kısa sürede çözüm bekliyoruz,Against
büyuklugunuzu gösterin sesimizi duyun,Favor
avrupa parlementosunda chp türk ve türkiye düşmanı partilerle işbirliğiyapmış türkiyeye ihanet edenlerinallahbelasını versin,Against
tck tekerrürmükerrer infaz yakanlar bu sefer bu maddeler ayrilmamali fetocu hakimler ve savcılar tck nin her maddesini mağdur etti,Against
askeri vesayet andımız konularında yaptığı hamlelerinden dolayı cumhurbaşkanı ve akp genel başkanı sayın recep tayyip erdoğan ı kutluyor ve sonuna kadar destekliyorum,Favor
yüce rabbim hayırlı mübarek eylesin seçtik yine seçeceğiz allahın izniyle,Favor
haziran öncesi milletvekili icin devletimiz bizide duysun,Neutral
böyle giderse seçimde chp ye oy yok kampanyası başlar kendinize gelin ve kurultaya vakit kabetmeden gidin,Against
kalanda bu adam yüzünden size oy falan vermez bunu sakın göz ardı etmeyin bu adamın sahtekarlığı yeter artık yeter bu adam artık adıyamanın ahmet aydın gibi bir vekili yok olmasında istenmiyor bu adam siz varken görünüp sonrada kendi ayarladığı yerlerin harici ortada olmayan,Against
aym nin yetki ve görevi değişmelidir kanun maddesine yasaya engel olmamali iki asyri devlet gibi olmamali,Neutral
hayırlı olsun inşaallah,Favor
rotamız net pusulamız millet,Favor
oh iyi yapmışlar de ülkemizi beğenmiyorlar suriyeli ler,Against
allah bizimle,Favor
lütfen bu süreçte görevden kaçıp istifa eden sağlık personelleri ne kamuda nede özelde çalıştırılmasın bütün belgeleri iptal edilsin nasıl cepheden kaçan asker vatan haini ise bunlarda vatan hainidir lütfen istirham ediyorum,Against
selamünaleyküm saygıdeğer kardeşim her zaman ve her yerde canı gönülden canı pahasına mücadele eden uzman çavuşlara muvazzaflık verilmesi elzemdir,Favor
beyinleri ipotekli akılları tutsak zavallı zihniyetlilerin recep tayyip erdoğanlider olamaz diyenlerin hazımsızlıkları,Against
rabbim şehadetlerini kabul etsin inşallah unutmayalım unutturmayalım,Favor
nin belediye başkan adayları seçim zamanı ve sonrasında halkımızla iletişim halinde kalabilmek için mesaj özelliğini açık bırakın size her konuda en çok yararlı olacak yer buradan alacağınız veriler vekilimiz gibi olun bu sosyal mecrayı kullanın,Neutral
likteyaşatakilanlar sizden haber bekliyoryineseçim var,Neutral
rabbim tüm şehitlerimize rahmet eylesin,Favor
hatay il sağlık değişim şarttır elzemdir gözünü işçilere diken yönetim ve heran istifa edecek binlerce çalışan karşı karşıya kalmıştır,Against
meral akşener hanımı tebrik ederimkürsüye çıkarttığı konuşturduğu çiftçimiz değme hatiplere taş çıkartacak cinsdendi yaptığı konuşmada nutuk la eşdeğerdi kanımca,Neutral
bu olaya ei atilmazsa ben sağlığımdan olacam babam erciyes üniversite hastanesi yoğun bakımı ünitesinde yaklaşık ay kaldı bu süre içinde iyi doktor olduğunu duyduğum bir doktora kez gidip yalvardım babama bir baksın diye ama o dr her seferinde başkasının hastasına,Against
kapali mahkumada yaşama hakki verin coluk cocuk perisaniz ne olur duyun sesimizi analar babalar eşler cocuklarin agladigi yeter,Against
islemedigimiz bir suçun cezasını yukluyorlar buna hangi vicdan sessiz kalır allahaşkına duybizireis,Against
hafta uzatilsa dahi kafi,Neutral
babalar günün kutlu olsun saygi değer babamiz,Favor
kuran ayetlerini şarkı yapan bu ahlaksızın konser biletleri biletixde satışta kuran ve ezan uğruna şehit kanları ile sulanmış bu topraklarda bu konserlere izin vermeyin lütfen,Against
allah rahmet eylesin mekanı cennet olsun inşallah şehitlerimizin ama şunu belirtmek istiyorum meclisteki o malum partiyi kapatın artık irakı suriyeyi yerle bir etme zamanı geldi gerekirse haritanın yeri değişecek yeter sabrımız kalmadı,Against
süper bir meslek eğitim sistemi olmuş sayın milli eğitim başkanım bizim zamanımızda da sizin gibi işiyle ilgilenen ve işinin ehli kişiler olmuş olsaydı parmakla gösterilen ülkelerin en başında biz olurduk emekleriniz için teşekkürler,Favor
allah canla başla çalışan bu güzel ekibe güç kuvvet versin,Favor
lütfen fen bilimleri cevabını b diye düzeltin çocuklarımızın kaderiyle oynamayın,Against
allah sizi başımızdan eksik etmesin başkanım,Favor
inanki şu anda gönlüm ne para nede malda tek dileğim filistinde ki müslüman kardeşlerimize yardım edilmesiōlen masum yapılmalı reis,Favor
cumhurbaşkanımıza teşekkür ediyorum,Favor
af geliyor allahin izliyle,Neutral
sıkıntı yok alışkınlar biz aldandık millet afetsin derler gider maksatları gerdirmek mileti ayarlarıyla oynamak buarada iktidarda kalmak için formül arıyorlardır meşgul olsun herkez baskın seçim olduda bitti devam,Against
sayın genel başkanım yıldır sahalarda yoksunuz bayramdan sonra anadolu yu turlamaya halkın sorunlarını yerinde görmeye gurup konuşmalarına ara vermeye örgütleri hareketlenmeye varmısınız,Favor
bu aralar baya reklam yaptin sowcu sni kimin usagisiniz lan siz,Against
sayın cumhurbaşkanım asker uzman ast üst subay polis maaşı iyiken yüksekken lira artırılmasını doğru bulmuyorum bunu yeniden görüşülmesini taleb ediyorum şuan şehit maaşı az iken şuan asgeri maaş çok düşükken ülkemize bu yakışmıyor inşallah onlar artar amin,Against
neyi bekliyorsunuz bu videodaki şahsı almak için,Against
adaletin kestiği parmak acımaz,Neutral
heybemde kitap var,Neutral
sayin baskan ne dediginizin farkinda mısınız istanbul ankaradan yonetilmeyecek te nerden yö pardon zaten adayiniz yeni bir istanbul anayasasi yapamaya geliyordu degil mi,Against
cenabı hak rahmet eylesin,Favor
izindeyiz reis,Favor
ulaşım planlaması her bölgenin insan hareketi mal akımı vesaire dikkate alınarak çeşitli disiplindeki plancıların işbirliği ile gerçekleşmelidir ulaştırmabak binşehirplancısı,Neutral
ülkenin sonunu nereye taşıyacaksınız merak ediyorum,Neutral
erdogandanogretmene mujde ait,Favor
syn cumhurbaşkanım mazlumların dostu allahında dostunun dünya derdi önündeki engeller allah için de sizi düşüncenizle yaşatsın,Favor
ne bok aramağa gelmiş,Against
sayin bakanim kahvehaneler açilacak yerler içinde en tehlikelisi okey taşlari domino taşlari oyun kagitlari tavla pullari zari bunlara gün boyu her kahve müdaviminin eli degecek bunu bir daha ele alin acizane her oyun sonrasi eglence taşlari steril olmayacak,Neutral
kime hür türk hariç tüm düşmanlarına mı,Against
sayın cumhurbaşkanım lütfen babamın işyerini özelleştirme babam ve iş arkadaşlarıda altay tankını yapabilirler,Against
atamalari dusunmekten bizde uyku falan kalmadiki,Against
emeklilikte yaşa takılanlar eyt olarak isimlendirilen ve kanunların geriye işletilerek emeklik hakları süreleri uzatılarak mağdur edilenlerin sorunlarınızı giderilmesini talep ederim,Neutral
sayın cumhurbaşkanım yalvaça gelin çok mutlu olurum sizi görmek istiyorum cumhurbaşkanım,Favor
chp ve chp medyasının ün katili pydpkk hakkındaki düşünceleri pyd terör örgütü değil ypg terör örgütü değil pyd komşumuz olsun pyd siyasi bir oluşum pkkya teşekkür ederiz,Neutral
böyle mi yardim edeceksin mesela yaşar okuyan sosyal güvenlik kurumlarının o dönem ihalesiz mal alımı için ilaç şirketleri ile protokol imzaladığını anlatarak dolardan ithal edilen bir stent devlete bin dolara satılmış sgk müdürü kılıçdaroğlu,Against
girdiği her seçimde sana çakan reise mi diyorsun bunu yine ne içtin kemal,Against
allahım sen biliyorsun aminnnn,Favor
reis senin bu yaptıklarını yok sayanlar dilerim rabbimden ömürleri kısa olsunlar,Against
gözüm görmez ağlamaktan suyum kesildi damaktan sanki öyle bir düğün alayı tabutum geçti sokaktan vay dünya yalancı dünya ecel gelirse bu cana baş ağrısı bir bahane mezar taşıma yazılsın bugün bana yarın sana,Against
devrim niteliğinde bir mesaj olmuş kart kurt tan nerelere demokrasimiz güçleniyor,Favor
bizlerde tıpkı öğretmen polis hemşire doktor gibi atanmak istiyoruz,Neutral
özel de çalışan öğretmenlerde tatil istiyor,Neutral
sözleşmeli öğretmenlere kadro ve aile birliği istiyoruz,Neutral
selamlar afyon teşkilatımıza,Favor
istifa et yüzsüz herif,Against
halka umut lazım,Neutral
hakkımızı istiyoruz önlisans tıbbi sekretere altı bin kadroo,Neutral
ülkenin ve chp nin ilerlemesinin önündeki en büyük takozsunuz takoz,Against
cumhurbaşkanım rabbim yar ve yardımcın olsun inşaallah,Favor
dünyada ençok terörle mücadele eden türkiyedir teröre ençok destek veren ülkelerse türkiyenin bazı müttefikleridir,Neutral
istanbul da suya zam sen gez trak trak,Against
sen ne iki yüzlü pkk destek ver hem sırtına yukle bunlari sonra şehitlerimizi anıyoruz de sahtekar iki yüzlüsehitlerin kemikleri sızladı sayende,Against
çizgi filmlerden başlanmalı şiddet içerikli çizgi filmlerin çocuklar üzerindeki etkisi belli sosyolog istihdamı da önemli,Neutral
biricik değerlimiz mebtir,Favor
ülkemin seçilmiş cumhurbaşkanına diktatör diyemezsin bay kemal,Against
işsiz imdler başbakan erdoğan ile görüştü,Neutral
bakanım kyk ücretleri ödenecek mi,Neutral
depremzede öğrencilerimizin kayıtlarını aldırdıkları okulllarda psikolojik danışman var mı mevcut pdr normundan dolayı ülkemizde binlerce okulda psikolojik danışman yok biran önce gerekli değişiklikler yapılarak her okula rehber öğretmen ataması yapılmalıdır,Against
tam vakıf üniversitesinde ile ücretsiz eğitim mi milli sporcuya bundan daha büyük bir güzellik olabilir mi,Favor
yine ak parti,Neutral
şubat bizim miladımız olsun,Favor
zamanında ben bu işi çok yaptım çalmayıda çalanıda çok iyi bilirim diyorsun bu insanların tam yılını heba ettiniz şimdide boş boş konuşuyorsunuz size iki keçi verseler onu bile güdemezsiniz,Against
tarımda kendi kendine yeten ve üreten türkiye olmaya devam edeceğiz,Favor
chp sözleriyle erdoğandan bunu yapması için çok kaşınıyor,Against
sarj dayanmiyo sarj inat etme giriyoruz işte,Against
çaya davetlisiniz başkanım,Favor
başbakanım filisdini tv de izledikce icim yanıyor gözyaşları tutamıyorum,Neutral
soyun soylansın rabbim yar ve yardımcınız olsun bakanım,Favor
her özgür insan bir mahkum adayıdı yükselen çığlıklara ses verin,Against
allah covit u size versin adaletiniz batsın nafaka kadar taş düşsün başınıza,Against
sayın cumhurbaşkan bende garip bu ülkede sizden yardım ihtiyacım var özel bir sorunum var allah sana korsun reis size sevgim ve saygılarımı,Favor
sevgili yetkililer gaziantep aralik devlet hastanesi diyaliz bölümü kadar pisdüzensizsaygisiz bi bölüm daha görmedim biz orda saat yatiyoruz ama nasil hic merak edip bi kontrol edelim dediniz mi demediyseniz bence deyin sevgiler,Against
bende bir engelli eşiyim bizde sana sevgilerimizi gonderiyoruz,Favor
adaletsiz ve zorlu şartlara başarısızca uygulamalara maruz kalan tüm bunlara göğüs geren yürekli kardeşlerimiz umudumuz sizdedir,Favor
allah rahmet eylesin ruhunuz şad olsun,Favor
duydunmu hoca seni cagiriyor al sana firsat,Favor
gün içinde türkiye senden kurtulacak tanrı türkü korusun,Favor
vatan hayini ditarbakırada yolları kesip kimlik kontrolü yapıyolar,Against
istifa ediyorum düzen partisinden benden oy alamazsınız,Against
bu hizmeti sosyal yardimlaşma ve dayanişma vakif çalişanlari yürütmektedir habere konulan fotoğraf sosyal yardimlaşma ve dayanişma vakiflarini temsil etmemektedir,Neutral
allahim sizi bu güzelim vatana bu kafayla iktidar yüzü göstermesin insallah siz önce belediyelerden haksiz yere cikarttiginiz iscilerden baslayin yürümeden önce emeklemek gerek degilmi,Against
kecmiw olsun dualarimiz sizinle zmir,Favor
sayın cumhurbaşkanım b tabi çalışan sözleşmeli tüm personel kadro istiyor,Neutral
iyi yayınlar sayın vekilim,Favor
londralı tefeciler ne kadar faiz istiyor,Against
evde ampul bozuldu ampul yok kumandanın pili bitti tv değiştiremeyecez ders çalışan bir çocuğun uç veya kalemi bitti yazamayacak allahım nasıl bir hale geldik böyle sigara zorunlu ihtiyaç görüldü yasaklanmadı olacak şey değil sigara neden yasaklanmadı,Against
yenimi aklınıza geldi oteller gibi kapatma cezası verebiliyormusunuz bu tekelci market tefecilerine millet alışverişte görsün taktiği,Against
devletimiz var olsun,Favor
feyzioğlu şeref yoksunu darbeci aile cocugu,Against
babamin bokunu yiyin,Against
hep birlikde,Favor
il başkanımızın olmasını isterdim şahsen sahadaki çalışmalarını kimse görmezden gelemez sayın vekilimiz il başkanlarını atarken kamuoyu araştırması yaptı mı acaba,Neutral
mağaza gelen azeri menim manatım var siz fakirsiniz diyor elhamdülillah fakiriz,Against
sayın cumhur başkanimiz recep tayyip erdoğan başta saygilarimi sunarim ceza evlerinden __ yasinda cocuklarimiz hücre cezasi yiyorlar çoçuklarimiz psikolojisi bozuluyor kafalarini duvara vuruyor beyin kanamasindan evlatlarimizi kaybedecegiz sana yalvariyoruz af af,Against
çığ her an geliyorum diye kendini belli eder o bölgede yaşıyanlar bunu daha iyiy bir gürültü ile önceden bu çığ bertaraf edilir ve kimseninde canı yanmazdıacemi ve bilinçsizce yapılan kurtarma facia getirmiştir,Against
